"strain" "block" "egg" "worms" "males" "background" "rec"
"1" "EEV1401" 1 16 15 0 "EEV1401" "wt"
"2" "EEV1401" 1 49 44 0 "EEV1401" "wt"
"3" "EEV1401" 1 29 14 0 "EEV1401" "wt"
"4" "EEV1401" 1 68 62 0 "EEV1401" "wt"
"5" "EEV1401" 1 122 104 0 "EEV1401" "wt"
"6" "EEV1404" 1 27 26 0 "EEV1402" "mut"
"7" "EEV1404" 1 77 92 0 "EEV1402" "mut"
"8" "EEV1404" 1 29 31 0 "EEV1402" "mut"
"9" "EEV1404" 1 47 56 0 "EEV1402" "mut"
"10" "EEV1404" 1 23 23 0 "EEV1402" "mut"
"11" "EEV1403" 1 27 17 2 "EEV1401" "mut"
"12" "EEV1403" 1 80 60 0 "EEV1401" "mut"
"13" "EEV1403" 1 31 23 0 "EEV1401" "mut"
"14" "EEV1403" 1 18 12 0 "EEV1401" "mut"
"15" "EEV1403" 1 35 21 0 "EEV1401" "mut"
"16" "EEV1402" 1 8 6 0 "EEV1402" "wt"
"17" "EEV1402" 1 54 58 0 "EEV1402" "wt"
"18" "EEV1402" 1 40 45 0 "EEV1402" "wt"
"19" "EEV1402" 1 57 60 0 "EEV1402" "wt"
"20" "EEV1402" 1 71 82 0 "EEV1402" "wt"
"21" "EEV1404" 2 16 14 0 "EEV1402" "mut"
"22" "EEV1404" 2 22 25 0 "EEV1402" "mut"
"23" "EEV1404" 2 45 51 0 "EEV1402" "mut"
"24" "EEV1404" 2 22 23 0 "EEV1402" "mut"
"25" "EEV1404" 2 48 58 0 "EEV1402" "mut"
"26" "EEV1402" 2 28 41 0 "EEV1402" "wt"
"27" "EEV1402" 2 23 23 0 "EEV1402" "wt"
"28" "EEV1402" 2 71 77 0 "EEV1402" "wt"
"29" "EEV1402" 2 66 72 0 "EEV1402" "wt"
"30" "EEV1402" 2 60 67 0 "EEV1402" "wt"
"31" "EEV1401" 2 38 23 0 "EEV1401" "wt"
"32" "EEV1401" 2 29 24 0 "EEV1401" "wt"
"33" "EEV1401" 2 32 20 0 "EEV1401" "wt"
"34" "EEV1401" 2 97 81 0 "EEV1401" "wt"
"35" "EEV1401" 2 40 30 0 "EEV1401" "wt"
"36" "EEV1403" 2 94 67 0 "EEV1401" "mut"
