"strain" "block" "eggs" "worms" "males" "background" "rec"
"EEV1401" 1 16 15 0 "EEV1401" "wt"
"EEV1401" 1 49 44 0 "EEV1401" "wt"
"EEV1401" 1 29 14 0 "EEV1401" "wt"
"EEV1401" 1 68 62 0 "EEV1401" "wt"
"EEV1401" 1 122 104 0 "EEV1401" "wt"
"EEV1404" 1 27 26 0 "EEV1402" "mut"
"EEV1404" 1 77 92 0 "EEV1402" "mut"
"EEV1404" 1 29 31 0 "EEV1402" "mut"
"EEV1404" 1 47 56 0 "EEV1402" "mut"
"EEV1404" 1 23 23 0 "EEV1402" "mut"
"EEV1403" 1 27 17 2 "EEV1401" "mut"
"EEV1403" 1 80 60 0 "EEV1401" "mut"
"EEV1403" 1 31 23 0 "EEV1401" "mut"
"EEV1403" 1 18 12 0 "EEV1401" "mut"
"EEV1403" 1 35 21 0 "EEV1401" "mut"
"EEV1402" 1 8 6 0 "EEV1402" "wt"
"EEV1402" 1 54 58 0 "EEV1402" "wt"
"EEV1402" 1 40 45 0 "EEV1402" "wt"
"EEV1402" 1 57 60 0 "EEV1402" "wt"
"EEV1402" 1 71 82 0 "EEV1402" "wt"
"EEV1404" 2 16 14 0 "EEV1402" "mut"
"EEV1404" 2 22 25 0 "EEV1402" "mut"
"EEV1404" 2 45 51 0 "EEV1402" "mut"
"EEV1404" 2 22 23 0 "EEV1402" "mut"
"EEV1404" 2 48 58 0 "EEV1402" "mut"
"EEV1402" 2 28 41 0 "EEV1402" "wt"
"EEV1402" 2 23 23 0 "EEV1402" "wt"
"EEV1402" 2 71 77 0 "EEV1402" "wt"
"EEV1402" 2 66 72 0 "EEV1402" "wt"
"EEV1402" 2 60 67 0 "EEV1402" "wt"
"EEV1401" 2 38 23 0 "EEV1401" "wt"
"EEV1401" 2 29 24 0 "EEV1401" "wt"
"EEV1401" 2 32 20 0 "EEV1401" "wt"
"EEV1401" 2 97 81 0 "EEV1401" "wt"
"EEV1401" 2 40 30 0 "EEV1401" "wt"
"EEV1403" 2 94 67 0 "EEV1401" "mut"
"EEV1403" 2 40 26 0 "EEV1401" "mut"
"EEV1403" 2 71 49 1 "EEV1401" "mut"
"EEV1403" 2 66 53 0 "EEV1401" "mut"
"EEV1403" 2 6 6 0 "EEV1401" "mut"
"EEV1402" 3 62 72 0 "EEV1402" "wt"
"EEV1402" 3 61 59 0 "EEV1402" "wt"
"EEV1402" 3 64 62 0 "EEV1402" "wt"
"EEV1402" 3 60 56 0 "EEV1402" "wt"
"EEV1402" 3 63 66 0 "EEV1402" "wt"
"EEV1401" 3 58 49 0 "EEV1401" "wt"
"EEV1401" 3 61 41 0 "EEV1401" "wt"
"EEV1401" 3 83 64 0 "EEV1401" "wt"
"EEV1401" 3 21 17 0 "EEV1401" "wt"
"EEV1401" 3 80 36 0 "EEV1401" "wt"
"EEV1403" 3 8 8 0 "EEV1401" "mut"
"EEV1403" 3 30 21 0 "EEV1401" "mut"
"EEV1403" 3 66 51 0 "EEV1401" "mut"
"EEV1403" 3 68 47 0 "EEV1401" "mut"
"EEV1403" 3 110 89 0 "EEV1401" "mut"
"EEV1404" 3 47 52 0 "EEV1402" "mut"
"EEV1404" 3 25 29 0 "EEV1402" "mut"
"EEV1404" 3 34 36 0 "EEV1402" "mut"
"EEV1404" 3 63 63 0 "EEV1402" "mut"
"EEV1404" 3 69 75 1 "EEV1402" "mut"
"EEV1404" 4 50 66 0 "EEV1402" "mut"
"EEV1404" 4 68 69 0 "EEV1402" "mut"
"EEV1404" 4 53 62 0 "EEV1402" "mut"
"EEV1404" 4 63 66 0 "EEV1402" "mut"
"EEV1404" 4 40 43 0 "EEV1402" "mut"
"EEV1404" 4 67 68 2 "EEV1402" "mut"
"EEV1404" 4 66 64 0 "EEV1402" "mut"
"EEV1402" 4 68 79 0 "EEV1402" "wt"
"EEV1402" 4 47 60 0 "EEV1402" "wt"
"EEV1402" 4 63 76 0 "EEV1402" "wt"
"EEV1402" 4 74 73 1 "EEV1402" "wt"
"EEV1402" 4 62 74 0 "EEV1402" "wt"
"EEV1402" 4 57 71 0 "EEV1402" "wt"
"EEV1402" 4 68 75 0 "EEV1402" "wt"
"EEV1402" 4 56 62 0 "EEV1402" "wt"
"EEV1401" 4 54 48 0 "EEV1401" "wt"
"EEV1401" 4 73 69 0 "EEV1401" "wt"
"EEV1401" 4 70 67 0 "EEV1401" "wt"
"EEV1401" 4 52 65 0 "EEV1401" "wt"
"EEV1401" 4 71 56 0 "EEV1401" "wt"
"EEV1401" 4 54 49 0 "EEV1401" "wt"
"EEV1401" 4 69 63 0 "EEV1401" "wt"
"EEV1401" 4 73 72 1 "EEV1401" "wt"
"EEV1403" 4 74 71 1 "EEV1401" "mut"
"EEV1403" 4 82 77 1 "EEV1401" "mut"
"EEV1403" 4 52 58 0 "EEV1401" "mut"
"EEV1403" 4 74 69 0 "EEV1401" "mut"
"EEV1403" 4 105 105 2 "EEV1401" "mut"
"EEV1403" 4 54 51 0 "EEV1401" "mut"
"EEV1403" 4 87 90 1 "EEV1401" "mut"
"EEV1403" 4 84 82 0 "EEV1401" "mut"
"EEV1403" 5 77 78 1 "EEV1401" "mut"
"EEV1403" 5 82 70 0 "EEV1401" "mut"
"EEV1403" 5 81 70 0 "EEV1401" "mut"
"EEV1403" 5 58 59 1 "EEV1401" "mut"
"EEV1403" 5 75 74 0 "EEV1401" "mut"
"EEV1403" 5 104 102 0 "EEV1401" "mut"
"EEV1403" 5 54 48 0 "EEV1401" "mut"
"EEV1403" 5 43 42 0 "EEV1401" "mut"
"EEV1404" 5 57 66 0 "EEV1402" "mut"
"EEV1404" 5 62 70 0 "EEV1402" "mut"
"EEV1404" 5 66 74 0 "EEV1402" "mut"
"EEV1404" 5 47 51 0 "EEV1402" "mut"
"EEV1404" 5 40 49 0 "EEV1402" "mut"
"EEV1404" 5 77 84 0 "EEV1402" "mut"
"EEV1404" 5 69 72 1 "EEV1402" "mut"
"EEV1404" 5 76 86 0 "EEV1402" "mut"
